epochs,train_losses,val_losses,test_losses
70,0.022016805563117706,0.021938355596521988,0.02189768820392842
71,0.02196001145084422,0.024915397670799973,0.025020054408482144
72,0.02200454176034731,0.02706724161093037,0.027100064924785068
73,0.02246783741476159,0.024804189941367332,0.02415031468381687
74,0.020824789031734313,0.025173208235782167,0.024477343474115645
75,0.022135030910909244,0.02252969250769473,0.022365945562416195
76,0.02145444378732735,0.0229341241516376,0.022354847086327418
77,0.021283974922959813,0.020648482350210016,0.020860002737264245
78,0.021239439209406106,0.02585021514138517,0.02585870392468511
79,0.020676298860923478,0.019776440761352713,0.019732644819483464
80,0.020711263955400936,0.021627360927266175,0.021353118729834655
81,0.02022755594489259,0.024831076168508482,0.0240296760992128
82,0.020597691637973335,0.02154791877730771,0.021477582047180255
83,0.020803719815234552,0.02335221889428349,0.02331095546179888
84,0.020494890891439545,0.020243630727740276,0.019748500415257046
85,0.01959281918158999,0.020544930392240538,0.020428914196637213
86,0.019778758164118806,0.029487260806015114,0.029311286855717093
87,0.01991140718910406,0.02480273411715979,0.024443541710474054
88,0.0207829752657887,0.02190155635586238,0.021481072492137248
89,0.02010036619654862,0.020621949817201994,0.019451241408075606
90,0.02021768062865485,0.025611847339777897,0.025260610239846364
91,0.019569739117422307,0.021131788926053878,0.020142537826786235
92,0.01867209840025082,0.018955200915319124,0.01824740890641602
93,0.01959702069032829,0.019947690673370825,0.019267507581686487
94,0.01895595633324223,0.018869245791575867,0.01827119617741935
95,0.01906849527201517,0.018867274514989915,0.018607912166994447
96,0.01888691163410916,0.01935277220052375,0.018800925235359037
97,0.019557617444644546,0.022466414476075697,0.022400921248659795
98,0.019475737733725334,0.023396365820800936,0.023088972711441468
99,0.018566904846972567,0.02084754046575886,0.020456967001058618
100,0.019022624995927225,0.017735320340118092,0.017342379202648084
101,0.018556601994180928,0.023399925110310853,0.023134893604687283
102,0.01925760819322487,0.018404687589271093,0.018326313900096074
103,0.01921555718339971,0.02097097561345343,0.020902827838245704
104,0.018494907602165912,0.01948493454001384,0.01931930743918127
105,0.01786198783298126,0.019039680147102608,0.018615483477407574
106,0.018375541365831985,0.01836752971355451,0.017913011567933217
107,0.01850838128490315,0.019339598557338293,0.019224309419490854
108,0.018048915054765937,0.020943662338463596,0.020688644553325614
109,0.018122537903115587,0.019001725186348416,0.01878003836894522
110,0.01871857036047904,0.01857067420116627,0.018619740571902722
111,0.0182731503363305,0.01995008618527958,0.01965708528854409
112,0.018516050945885227,0.0312713265476017,0.030868937318422357
113,0.020333939548863075,0.01938734232438688,0.019008631000713427
114,0.018511839009795455,0.018600578496620716,0.01831262839996085
115,0.018427954934771052,0.024480106840858842,0.024254029350621358
116,0.017115964896059686,0.018075562313985317,0.01762224779445298
117,0.017808248088819503,0.024215999258471014,0.023795835217651055
118,0.017319341220446233,0.018827811888334912,0.01888113499295955
119,0.017452366439177806,0.01676111481282085,0.016666401861881723
120,0.01720388324955061,0.018436382551541383,0.01803435309200871
121,0.01731718383063146,0.02145742689728946,0.021497031483723193
122,0.01742518906947766,0.017470617794485045,0.016913796185838933
123,0.017281283116082766,0.017683180595117,0.01727192848920822
124,0.016767999119450892,0.01770928653636162,0.016938322356769016
125,0.016564500727988218,0.016265890728661494,0.015959411403354332
126,0.01797025287945719,0.021673203046747927,0.021519427624892215
127,0.01636843625174859,0.025244109732823834,0.025602973693487595
128,0.016911571590136846,0.01864383696901652,0.01803279934184892
129,0.01708833756667327,0.018538630257644056,0.01827963578457735
130,0.016603239422553717,0.018035034044078142,0.01729229396703292
131,0.017232625779850488,0.02698086696474552,0.026895795549665178
132,0.016968377184395384,0.019946479690943382,0.019480166234532182
133,0.015739037186928467,0.017356328752913885,0.0167684475986325
134,0.01621893931149952,0.018692400017252916,0.017942501498120173
135,0.016110220430775802,0.01772546076459138,0.017573980956661458
136,0.01648760570751873,0.016119586552954854,0.015475057749723901
137,0.015889243392596123,0.016261925447239898,0.015783663306917464
138,0.01616415689709087,0.015000807313510112,0.014173529890118813
139,0.015536391349351433,0.018566325123983193,0.017950383680207387
140,0.016992437297372313,0.02054666184398445,0.020739083843571798
141,0.016365106021779895,0.01937634223160819,0.018829958551392263
142,0.015813577225762793,0.015885516746979515,0.01567378503327467
143,0.015447345129609038,0.020713498066738428,0.020644532782690867
144,0.015091931626944869,0.01478968604641365,0.014436717696335852
145,0.015682698725035867,0.01733326702887184,0.01676765874940522
146,0.015522667618942177,0.014508971030796123,0.014104665009951105
147,0.01559051823273353,0.016542342259099795,0.016171074111242682
148,0.0149015030703582,0.01525282437923364,0.014882295107354924
149,0.014637992154854446,0.014189755576431855,0.013979867404820968
150,0.015334141014509431,0.016851484994084075,0.016950712444222703
151,0.015715137771985188,0.016751331327521362,0.0163870920636216
152,0.015610923136083645,0.0142406048281387,0.013985707139482304
153,0.014471667497467497,0.01882998999959446,0.01832065541221171
154,0.01483601950645516,0.015102179715949992,0.014775383533263693
155,0.01513456066250455,0.017468412090066172,0.017324494540083165
156,0.015148617851825887,0.016014908824490717,0.01593784866284351
